memory_used_mb,memory_total_mb,timestamp
87,32607,2026/03/10 20:04:44.723
17487,32607,2026/03/10 20:05:44.744
17487,32607,2026/03/10 20:06:44.764
17487,32607,2026/03/10 20:07:44.782
17997,32607,2026/03/10 20:08:44.800
17997,32607,2026/03/10 20:09:44.819
17999,32607,2026/03/10 20:10:44.836
17999,32607,2026/03/10 20:11:44.855
17999,32607,2026/03/10 20:12:44.872
17999,32607,2026/03/10 20:13:44.892
17999,32607,2026/03/10 20:14:44.910
17999,32607,2026/03/10 20:15:44.928
17999,32607,2026/03/10 20:16:44.947
17999,32607,2026/03/10 20:17:44.967
17999,32607,2026/03/10 20:18:44.986
17999,32607,2026/03/10 20:19:45.005
17999,32607,2026/03/10 20:20:45.023
17999,32607,2026/03/10 20:21:45.039
17999,32607,2026/03/10 20:22:45.058
17999,32607,2026/03/10 20:23:45.075
17999,32607,2026/03/10 20:24:45.093
17999,32607,2026/03/10 20:25:45.113
17999,32607,2026/03/10 20:26:45.132
17999,32607,2026/03/10 20:27:45.151
17999,32607,2026/03/10 20:28:45.169
17999,32607,2026/03/10 20:29:45.186
17999,32607,2026/03/10 20:30:45.206
17999,32607,2026/03/10 20:31:45.224
17999,32607,2026/03/10 20:32:45.243
17999,32607,2026/03/10 20:33:45.262
17999,32607,2026/03/10 20:34:45.282
17999,32607,2026/03/10 20:35:45.301
17999,32607,2026/03/10 20:36:45.320
17999,32607,2026/03/10 20:37:45.340
17999,32607,2026/03/10 20:38:45.359
17999,32607,2026/03/10 20:39:45.377
17999,32607,2026/03/10 20:40:45.396
17999,32607,2026/03/10 20:41:45.413
17999,32607,2026/03/10 20:42:45.432
17999,32607,2026/03/10 20:43:45.450
17999,32607,2026/03/10 20:44:45.469
17999,32607,2026/03/10 20:45:45.487
17999,32607,2026/03/10 20:46:45.505
17999,32607,2026/03/10 20:47:45.526
17999,32607,2026/03/10 20:48:45.548
17999,32607,2026/03/10 20:49:45.566
17999,32607,2026/03/10 20:50:45.585
17999,32607,2026/03/10 20:51:45.605
17999,32607,2026/03/10 20:52:45.624
17999,32607,2026/03/10 20:53:45.643
17999,32607,2026/03/10 20:54:45.661
17999,32607,2026/03/10 20:55:45.680
17999,32607,2026/03/10 20:56:45.699
17999,32607,2026/03/10 20:57:45.716
17999,32607,2026/03/10 20:58:45.736
17999,32607,2026/03/10 20:59:45.755
17999,32607,2026/03/10 21:00:45.774
17999,32607,2026/03/10 21:01:45.793
17999,32607,2026/03/10 21:02:45.812
17999,32607,2026/03/10 21:03:45.831
17999,32607,2026/03/10 21:04:45.851
17999,32607,2026/03/10 21:05:45.871
17999,32607,2026/03/10 21:06:45.887
17999,32607,2026/03/10 21:07:45.906
17999,32607,2026/03/10 21:08:45.926
17999,32607,2026/03/10 21:09:45.944
17999,32607,2026/03/10 21:10:45.964
17999,32607,2026/03/10 21:11:45.984
17999,32607,2026/03/10 21:12:46.008
17999,32607,2026/03/10 21:13:46.027
17999,32607,2026/03/10 21:14:46.046
17999,32607,2026/03/10 21:15:46.062
17999,32607,2026/03/10 21:16:46.081
17999,32607,2026/03/10 21:17:46.100
17999,32607,2026/03/10 21:18:46.119
17999,32607,2026/03/10 21:19:46.137
17999,32607,2026/03/10 21:20:46.157
17999,32607,2026/03/10 21:21:46.178
17999,32607,2026/03/10 21:22:46.197
17999,32607,2026/03/10 21:23:46.217
17999,32607,2026/03/10 21:24:46.236
17999,32607,2026/03/10 21:25:46.257
17999,32607,2026/03/10 21:26:46.277
17999,32607,2026/03/10 21:27:46.295
17999,32607,2026/03/10 21:28:46.315
17999,32607,2026/03/10 21:29:46.331
17999,32607,2026/03/10 21:30:46.350
17999,32607,2026/03/10 21:31:46.369
17999,32607,2026/03/10 21:32:46.387
17999,32607,2026/03/10 21:33:46.402
17999,32607,2026/03/10 21:34:46.421
17999,32607,2026/03/10 21:35:46.439
17999,32607,2026/03/10 21:36:46.458
17999,32607,2026/03/10 21:37:46.476
17999,32607,2026/03/10 21:38:46.495
17999,32607,2026/03/10 21:39:46.513
17999,32607,2026/03/10 21:40:46.532
17999,32607,2026/03/10 21:41:46.553
17999,32607,2026/03/10 21:42:46.572
17999,32607,2026/03/10 21:43:46.592
17999,32607,2026/03/10 21:44:46.610
17999,32607,2026/03/10 21:45:46.626
17999,32607,2026/03/10 21:46:46.645
